word,count
2266,2
mmaappeettiitteevvaacchhee,1
tirons,1
ira,1
mieux,43
2277,2
iillpplleeuuttbbeerrggèèrree,1
pleut,4
rentre,2
blancs,2
allons,7
sous,28
chaumière,1
entends,5
feuillage,2
tombe,10
venir,16
orage,5
éclair,1
luit,2
tonnerre,3
approchant,4
prends,5
abri,3
droite,1
marchant,1
cabane,2
sœur,15
anne,2
étable,4
ouvrir,3
bonsoir,3
amène,5
soir,11
sécher,1
mie,2
auprès,3
tisons,1
fais,21
compagnie,7
entrez,2
soignons,1
o,1
tant,76
troupeau,9
litière,3
agneau,6
eh,24
voilà,42
corset,1
voyez,16
couche,6
dors,3
jusqu,21
laisse,19
mot,16
amour,19
rougis,1
demain,9
ton,49
demander,3
main,12
2288,2
llaassoouurriissvveerrttee,1
herbe,15
attrape,3
montre,8
ces,137
disent,6
trempez,2
huile,1
escargot,1
chaud,6
tiroir,1
trop,57
noir,5
chapeau,2
mes,53
grandes,4
poches,2
moches,1
chemise,1
bises,1
crottes,1
2299,2
ssaavveezz,2
vvoouussppllaanntteerrddeesscchhoouuxx,1
savez,7
planter,4
choux,3
mode,8
plante,4
doigts,2
coudes,1
pieds,28
amusez,2
essayer,1
faisant,13
geste,1
encouragez,1
faire,95
ééttaaiiss,1
ppeettiittee,2
ccoommmmee,1
aallllaaiitt,1
ssoouuvveenntt,1
jjaarrddiinn,1
ggrraannddss,1
ppaarreennttss,1
mmaannggeerr,1
ccaarrootttteess,1
rreevveennaaiitt,1
mmaa,3
cchhaannttaaiitt,1
ttoouujjoouurrssllaammêêmmeecchhaannssoonn,1
3300,2
mmeeuunniieerrttuuddoorrss,1
meunier,13
fort,70
cceeqquueettuutt,1
eessbbiieennaammuussééee,1
oohhoouuii,1
pprréésseenntt,1
vvaa,1
ssee,1
rreeppoosseerr,1
ppeeuu,1
3311,2
aauuccllaaiirrddeellaalluunnee,1
clair,6
ami,34
pierrot,4
plume,2
écrire,3
chandelle,1
morte,1
feu,4
ouvre,3
porte,25
dieu,29
répondit,7
suis,36
lit,11
crois,20
car,52
cuisine,5
bat,4
briquet,1
rendort,1
cœur,12
blanc,3
croissant,2
3322,2
llaappoouulleetttteeggrriissee,1
poulette,10
grise,3
pondu,3
église,1
coco,1
dodo,5
di,1
che,1
blanche,4
noire,4
armoire,2
couverte,3
brune,1
orange,1
grange,1
toilette,1
beige,1
neige,3
bleue,1
cheveux,4
rose,1
roses,1
remplacez,1
nom,14
3333,2
ffaaiissddooddooccoollaassmmoonnppeettiittffrrèèrree,1
colas,2
lolo,2
haut,26
gâteau,2
bas,17
chocolat,1
oubliez,1
pouvez,7
aussi,49
composer,1
vos,30
propres,3
partir,12
activité,1
exemple,13
jacques,1
suivantes,1
biscuit,2
avoine,2
dormir,5
rêves,1
pipi,1
changeons,2
propre,9
ssuurr,3
ppoonntt,1
ppeettiitteess,1
mmaarriioonnnneetttteess,1
bbeellllee,2
rroossiinnee,1
ttooiillee,1
ssoouurriiss,2
vveerrttee,2
ppoouullee,1
mmuurr,1
mmiicchheell,1
bbeerrggèèrree,2
iirroonnss,1
ttaappee,2
ppoommmmee,2
rreeiinneettttee,1
rrooii,1
ddaaggoobbeerrtt,1
pprriinnccee,1
bbeeaauu,1
cchhââtteeaauu,1
ppeerrdduu,1
ddoo,1
ccllaarriinneettttee,1
nnaavviirree,1
ppaarrttoonnss,1
mmeerr,1
hhiissttooiirree,1
vvoolleettttee,1
ttrroommppee,1
mmeerrllee,1
2233,1
ssaa,1
ppaappaa,1
bbaarrbbiicchheettttee,1
mmeennttoonn,1
ffoouurrcchhuu,1
ddaannssoonnss,1
ccaappuucciinnee,1
ffeerrmmee,1
mmaatthhuurriinn,1
vvaacchhee,1
pplleeuutt,1
vvoouuss,1
ppllaanntteerr,1
cchhoouuxx,1
mmeeuunniieerr,1
ddoorrss,1
ccllaaiirr,1
lluunnee,1
ppoouulleettttee,1
ggrriissee,1
ffaaiiss,1
ddooddoo,1
ccoollaass,1
ffrrèèrree,1
commanditaire,1
partenaire,1
privilégié,1
coalition,1
francophone,1
nouveau,23
brunswick,3
goût,10
lire,7
commanditaires,1
financiers,1
gouvernement,4
communautés,1
écoute,4
enfants,29
péninsule,1
acadienne,1
services,1
parle,9
collaborations,1
spéciales,1
carole,1
asselin,1
orthophoniste,1
école,3
polyvalente,1
w,1
losier,1
parents,9
tteexxtteess,1
cchhrriissttiiaannee,1
sstt,1
ppiieerrrree,1
ccoonncceeppttiioonn,1
ggrraapphhiiqquuee,1
iilllluussttrraattiioonnss,1
ppaaggee,1
ccoouuvveerrttuurree,1
eennddooss,1
cchhrriissttiiaann,1
ppaauulliinn,1
22000066,1
