word,count
plouaret,3660
éclats,3659
cee,3657
cavaliers,3656
respect,3654
auriez,3647
camarades,3640
réellement,3640
suivant,3637
approchait,3632
comprit,3629
rois,3624
vacarme,3619
hôtel,3616
abbé,3616
oncle,3615
dormit,3614
éléphant,3613
pluie,3612
amoureux,3612
emporter,3607
quitta,3603
créature,3603
approcher,3600
europe,3593
chrétien,3591
philémon,3588
épine,3585
ancien,3583
nord,3581
poule,3579
brillante,3579
auberge,3577
enfuit,3571
entreprise,3568
remplit,3566
poursuivit,3565
élève,3565
questions,3562
auraient,3559
ferma,3558
frotta,3554
quilles,3554
buisson,3552
bellérophon,3550
fier,3540
hervé,3538
précieuses,3535
février,3528
répondirent,3523
rochers,3522
obligé,3515
seraient,3512
métier,3504
souffle,3501
soif,3499
remplie,3496
claire,3490
rencontré,3489
adieux,3487
perdue,3486
pleure,3486
offrir,3485
conduite,3484
sortant,3481
pauvrette,3479
endormi,3476
genre,3474
pensant,3473
feuille,3472
assurer,3471
pourrez,3467
prise,3466
marquis,3464
tenez,3461
oublier,3455
jouait,3449
verras,3447
story,3446
sembla,3444
tapis,3443
toucha,3439
congé,3437
cherchait,3436
soins,3436
pâtre,3436
pouvais,3432
indien,3432
cérès,3432
fraîche,3428
approche,3428
abattre,3419
misère,3419
énormes,3415
pouvons,3415
sentiment,3412
baucis,3404
cuisinière,3400
pourrai,3398
nombreux,3398
morts,3397
demeura,3396
tailleur,3396
gentil,3395
tendit,3389
omer,3388
devenue,3387
valeur,3383
yvon,3382
sortait,3381
devaient,3377
retenir,3376
trouverez,3370
souffla,3369
noël,3367
voler,3365
guérir,3362
ellel,3360
songer,3359
releva,3358
arracher,3358
descendirent,3357
pénétrer,3355
attends,3354
poussant,3351
pipe,3348
qualité,3346
ouvert,3342
affection,3341
emmener,3341
hâta,3339
permission,3338
certaine,3338
néanmoins,3336
mourut,3335
répondu,3334
robes,3329
arracha,3329
allé,3327
ronde,3327
songe,3326
suivi,3325
